ident,gtdb_representative,superkingdom,phylum,class,order,family,genus,species
GCA_903914545.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Fermentimicrarchaeales,f__Fermentimicrarchaeaceae,g__CAISET01,s__CAISET01 sp903884505
GCF_000217715.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halopiger,s__Halopiger xanaduensis
GCA_016839875.1,t,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__Heimdallarchaeales,f__Heimdallarchaeaceae,g__UBA460,s__UBA460 sp016839875
GCA_028279655.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JACPBV01,g__JAHWHQ01,s__JAHWHQ01 sp028279655
GCF_015351695.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium,s__Methanobacterium formicicum
GCA_030539535.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii
GCA_027336305.1,f,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__Micrarchaeales,f__CABMGC01,g__JAJZIZ01,s__JAJZIZ01 sp021829835
GCA_027370195.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Parvarchaeales,f__Parvarchaeaceae,g__JAJZLM01,s__JAJZLM01 sp021802105
GCF_009729545.1,t,d__Archaea,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus infernus
GCA_937974645.1,t,d__Archaea,p__Thermoproteota,c__Nitrososphaeria_A,o__Caldarchaeales,f__Wolframiiraptoraceae,g__Wolframiiraptor,s__Wolframiiraptor sp937974645
GCA_002497365.1,f,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_A,s__Methanobacterium_A sp002494495
GCA_018676015.1,f,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-L1,s__MGIIa-L1 sp018662825
GCA_023539655.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria_A,o__Caldarchaeales,f__Wolframiiraptoraceae,g__Terraquivivens,s__Terraquivivens yellowstonensis
GCA_028439635.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus limneticus
GCA_023245755.1,t,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__GW2011-AR17,g__GW2011-AR17,s__GW2011-AR17 sp023245755
GCA_002720275.1,t,d__Archaea,p__Thermoplasmatota,c__Poseidoniia,o__Poseidoniales,f__Poseidoniaceae,g__MGIIa-I,s__MGIIa-I sp002720275
GCA_023659865.1,t,d__Archaea,p__B1Sed10-29,c__B1Sed10-29,o__WALL01,f__JAGXON01,g__JAGXON01,s__JAGXON01 sp023659865
GCA_028413265.1,f,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__Nitrosopumilus sp937897875
GCA_016933455.1,t,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__Aenigmatarchaeales,f__Aenigmatarchaeaceae,g__JAFGAZ01,s__JAFGAZ01 sp016933455
GCA_016839295.1,f,d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__Hodarchaeales,f__Hodarchaeaceae,g__Hodarchaeum,s__Hodarchaeum sp011364965
GCF_001971705.1,t,d__Archaea,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense
GCA_013330515.1,f,d__Archaea,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales_A,f__Methermicoccaceae,g__Methermicoccus,s__Methermicoccus shengliensis
GCA_030055465.1,t,d__Archaea,p__Thermoproteota,c__Methanomethylicia,o__Nezhaarchaeales,f__WYZ-LMO8,g__WYZ-LMO8,s__WYZ-LMO8 sp030055465
GCA_018816725.1,f,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__JACPBV01,g__JAHJAV01,s__JAHJAV01 sp018813685
